datetime,event,delta_post_fc,post_pips,post_max_pips,post_min_pips,post_mean_pips,post_sum_pips,previous,forecast,actual
2019-06-20 15:30:00,Initial Jobless Claims,220K vs 222K,66.8000000000002,88.29999999999893,0.0,4.1499999999998485,66.39999999999758,222K,220K,216K
2019-06-27 15:30:00,GDP (QoQ)  (Q1),3.1% vs 3.1%,-15.399999999998748,7.500000000000284,-26.199999999998447,-0.9874999999996692,-15.799999999994707,3.1%,3.1%,3.1%
2019-06-27 15:30:00,Initial Jobless Claims,220K vs 217K,-15.399999999998748,7.500000000000284,-26.199999999998447,-0.9874999999996692,-15.799999999994707,217K,220K,227K
2019-06-28 15:30:00,Core PCE Price Index (MoM)  (May),0.2% vs 0.2%,14.499999999999512,24.89999999999881,-7.800000000000029,0.8937499999998877,14.299999999998205,0.2%,0.2%,0.2%
2019-06-28 15:30:00,Core PCE Price Index (YoY)  (May),1.6% vs 1.6%,14.499999999999512,24.89999999999881,-7.800000000000029,0.8937499999998877,14.299999999998205,1.6%,1.6%,1.6%
2019-07-01 17:00:00,ISM Manufacturing PMI  (Jun),51.0 vs 52.1,-59.70000000000031,4.599999999999049,-62.69999999999997,-3.31666666666693,-59.70000000000475,52.1,51.0,51.7
2019-07-03 15:15:00,ADP Nonfarm Employment Change  (Jun),140K vs 41K,1.500000000000945,10.699999999999044,-20.700000000000163,0.1375000000000681,2.20000000000109,41K,140K,102K
2019-07-03 15:30:00,Initial Jobless Claims,220K vs 229K,1.500000000000945,10.699999999999044,-20.700000000000163,0.1375000000000681,2.20000000000109,229K,220K,221K
2019-07-03 17:00:00,ISM Non-Manufacturing PMI  (Jun),56.1 vs 56.9,-14.600000000000168,22.999999999999687,-20.700000000000163,-0.7666666666666316,-13.799999999999368,56.9,56.1,55.1
2019-07-05 15:30:00,Nonfarm Payrolls  (Jun),160K vs 72K,-66.2000000000007,2.40000000000018,-70.00000000000117,-4.1499999999998485,-66.39999999999758,72K,160K,224K
2019-07-05 15:30:00,Unemployment Rate  (Jun),3.6% vs 3.6%,-66.2000000000007,2.40000000000018,-70.00000000000117,-4.1499999999998485,-66.39999999999758,3.6%,3.6%,3.7%
2019-07-09 17:00:00,JOLTS Job Openings  (May),7.470M vs 7.372M,-6.800000000000139,2.8999999999990145,-22.500000000000853,-0.3888888888888461,-6.999999999999229,7.372M,7.470M,7.323M
2019-07-11 15:30:00,Core CPI (MoM)  (Jun),0.2% vs 0.1%,3.2999999999994145,31.90000000000026,-2.20000000000109,0.1937500000000203,3.1000000000003247,0.1%,0.2%,0.3%
2019-07-11 15:30:00,CPI (YoY)  (Jun),1.6% vs 1.8%,3.2999999999994145,31.90000000000026,-2.20000000000109,0.1937500000000203,3.1000000000003247,1.8%,1.6%,1.6%
2019-07-11 15:30:00,CPI (MoM)  (Jun),0.0% vs 0.1%,3.2999999999994145,31.90000000000026,-2.20000000000109,0.1937500000000203,3.1000000000003247,0.1%,0.0%,0.1%
2019-07-11 15:30:00,Initial Jobless Claims,220K vs 222K,3.2999999999994145,31.90000000000026,-2.20000000000109,0.1937500000000203,3.1000000000003247,222K,220K,209K
2019-07-12 15:30:00,PPI (MoM)  (Jun),0.1% vs 0.1%,-4.500000000000615,21.700000000000053,-15.000000000000568,-0.2874999999998018,-4.599999999996829,0.1%,0.1%,0.1%
2019-07-16 15:30:00,Core Retail Sales (MoM)  (Jun),0.1% vs 0.4%,-42.599999999999305,2.5999999999992696,-51.699999999998965,-2.693749999999884,-43.09999999999814,0.4%,0.1%,0.4%
2019-07-16 15:30:00,Retail Sales (MoM)  (Jun),0.1% vs 0.4%,-42.599999999999305,2.5999999999992696,-51.699999999998965,-2.693749999999884,-43.09999999999814,0.4%,0.1%,0.4%
2019-07-18 15:30:00,Initial Jobless Claims,216K vs 208K,-10.40000000000152,16.799999999999038,-22.000000000002014,-0.6562500000001359,-10.500000000002174,208K,216K,216K
2019-07-25 15:30:00,Initial Jobless Claims,220K vs 216K,38.3,43.80000000000051,-41.199999999999015,2.362499999999934,37.79999999999895,216K,220K,206K
2019-07-26 15:30:00,GDP (QoQ)  (Q2),1.8% vs 3.1%,-16.80000000000126,3.4999999999985043,-21.9999999999998,-1.0749999999999649,-17.199999999999438,3.1%,1.8%,2.1%
2019-07-30 15:30:00,Core PCE Price Index (YoY)  (Jun),1.7% vs 1.5%,3.4999999999985043,13.599999999998058,-14.00000000000068,0.1750000000003138,2.8000000000050207,1.5%,1.7%,1.6%
2019-07-30 15:30:00,Core PCE Price Index (MoM)  (Jun),0.2% vs 0.2%,3.4999999999985043,13.599999999998058,-14.00000000000068,0.1750000000003138,2.8000000000050207,0.2%,0.2%,0.2%
2019-07-31 15:15:00,ADP Nonfarm Employment Change  (Jul),150K vs 112K,-13.499999999999623,6.900000000000794,-16.599999999999948,-0.7999999999999674,-12.799999999999478,112K,150K,156K
2019-08-01 15:30:00,Initial Jobless Claims,214K vs 207K,-28.599999999998627,7.600000000000939,-45.09999999999792,-1.7812500000001508,-28.50000000000241,207K,214K,215K
2019-08-01 17:00:00,ISM Manufacturing PMI  (Jul),52.0 vs 51.7,-11.299999999998532,7.600000000000939,-45.09999999999792,-0.6166666666667592,-11.100000000001664,51.7,52.0,51.2
2019-08-02 15:30:00,Nonfarm Payrolls  (Jul),164K vs 193K,17.799999999998928,32.29999999999844,-13.100000000001444,1.0812500000000058,17.300000000000093,193K,164K,164K
2019-08-02 15:30:00,Unemployment Rate  (Jul),3.7% vs 3.7%,17.799999999998928,32.29999999999844,-13.100000000001444,1.0812500000000058,17.300000000000093,3.7%,3.7%,3.7%
2019-08-05 17:00:00,ISM Non-Manufacturing PMI  (Jul),55.5 vs 55.1,88.3999999999996,91.79999999999966,-3.899999999998904,4.911111111111088,88.3999999999996,55.1,55.5,53.7
2019-08-06 17:00:00,JOLTS Job Openings  (Jun),7.450M vs 7.384M,-17.100000000001003,36.19999999999956,-46.00000000000159,-0.9444444444447104,-17.00000000000479,7.384M,7.450M,7.348M
2019-08-08 15:30:00,Initial Jobless Claims,215K vs 217K,-4.599999999999049,26.39999999999976,-20.100000000000676,-0.2999999999998837,-4.799999999998139,217K,215K,209K
2019-08-09 15:30:00,PPI (MoM)  (Jul),0.2% vs 0.1%,-0.4000000000004,14.600000000000168,-9.9999999999989,-0.0437500000002866,-0.7000000000045858,0.1%,0.2%,0.2%
